ISBN,Title,Author,Quantity,AvailableQuantity
978-602-73156-1-0,Pemrograman Java Dasar,Agus Salim,5,2
978-032-17657-2-3,Effective Java,Joshua Bloch,3,1
978-013-23508-8-4,Clean Code,Robert C. Martin,4,3
978-979-3062-79-3,Laskar Pelangi,Andrea Hirata,7,7
978-979-22-5220-1,Negeri 5 Menara,Ahmad Fuadi,5,5
978-0-06-112008-4,To Kill a Mockingbird,Harper Lee,3,3
978-0-590-35340-3,Harry Potter and the Sorcerer's Stone,J.K. Rowling,5,4
978-602-03-0358-4,Bumi,Tere Liye,5,4
978-979-22-7005-2,"Supernova: Ksatria, Puteri, dan Bintang Jatuh",Dee Lestari,2,2
978-979-91-0244-8,Perahu Kertas,Dee Lestari,2,1
978-0-618-00221-3,The Hobbit,J.R.R. Tolkien,3,3
978-0-544-00341-5,The Lord of the Rings,J.R.R. Tolkien,4,4
978-979-3062-80-1,Sang Pemimpi,Andrea Hirata,7,7
978-602-291-121-3,Negeri Para Bedebah,Tere Liye,3,3
978-979-3780-77-9,Ayat-Ayat Cinta,Habiburrahman El Shirazy,5,5
978-602-420-123-7,Filosofi Teras,Henry Manampiring,6,6
978-602-424-422-7,Atomic Habits,James Clear,8,8
978-602-032-388-9,Sebuah Seni untuk Bersikap Bodo Amat,Mark Manson,6,6
978-602-063-483-1,Dilan: Dia adalah Dilanku Tahun 1990,Pidi Baiq,9,9
978-602-424-479-1,Rich Dad Poor Dad,Robert T. Kiyosaki,7,7
978-623-7656-10-6,The Psychology of Money,Morgan Housel,7,7
978-602-480-780-4,Start with Why,Simon Sinek,3,3
978-979-024-839-6,5 CM,Donny Dhirgantoro,2,2
978-602-032-102-1,Berani Tidak Disukai,Ichiro Kishimi & Fumitake Koga,5,5
978-602-291-154-0,Rindu,Tere Liye,5,5
978-602-291-238-7,You Do You,Fellexandro Ruby,2,2
978-602-434-164-2,The Power of Habit,Charles Duhigg,5,5
978-623-90037-0-0,"Thinking, Fast and Slow",Daniel Kahneman,3,3
978-602-425-261-0,Laut bercerita,Leila S. Chudori,1,1
978-602-063-053-6,Dunia Sophie,Jostein Gaarder,2,2
978-450-1407-22-7,Bulan,Joko Prasetya,5,5
978-726-1710-56-9,Matahari,Citra Saputra,5,5
978-413-4810-84-4,Cinta di Ujung Sajadah,Fajar Rahmawati,5,5
978-449-2953-53-8,Jejak Langkah,Hana Rahmawati,5,5
978-883-1688-62-1,Anak Semua Bangsa,Ilham Saputra,5,5
978-187-7436-49-3,Orang-Orang Biasa,Citra Wahyuni,5,5
978-889-5026-47-4,Selamat Tinggal,Budi Nugroho,5,5
978-500-3540-90-7,Garis Waktu,Joko Hidayat,5,5
978-475-8165-12-0,Milea,Hana Siregar,5,5
978-200-7766-77-1,Rapijali,Andi Santoso,5,5
978-207-3334-77-0,Selena,Citra Santoso,5,5
978-216-5623-37-1,Hafalan Shalat Delisa,Andi Saputra,5,5
978-344-5048-10-6,Negeri di Ujung Tanduk,Fajar Wijaya,5,5
978-790-4938-86-0,Ketika Cinta Bertasbih,Budi Santoso,5,5
978-357-8999-43-8,Pulang,Citra Santoso,5,5
978-629-6739-59-4,Pergi,Fajar Wijaya,5,5
978-457-9894-45-2,Bidadari-Bidadari Surga,Dina Wijaya,5,5
978-521-1322-57-8,Surat Kecil untuk Tuhan,Citra Wijaya,5,5
978-378-9317-81-7,Sabtu Bersama Bapak,Dina Wijaya,5,5
978-946-8804-19-0,Tentang Kamu,Budi Wahyuni,5,5
978-795-8395-16-9,The Alchemist,Dina Santoso,5,5
978-491-1363-75-5,Sapiens,Ilham Wahyuni,5,5
978-446-4150-99-1,Homo Deus,Hana Wahyuni,5,5
978-384-5371-81-4,21 Lessons for the 21st Century,Joko Prasetya,5,5
978-302-5943-88-0,The Power of Now,Gita Siregar,5,5
978-524-7089-28-5,Ikigai,Hana Saputra,5,5
978-597-3412-83-6,Deep Work,Gita Putri,5,5
