"TransactionID","MemberID","ISBN","BorrowDate","DueDate","ReturnDate","Status","Fine"
"T7E918BC9","027","978-602-73156-1-0","2025-05-31","2025-06-07","-","BORROWED","0.0"
"T94EEA7BB","027","978-013-23508-8-4","2025-05-31","2025-06-07","-","BORROWED","0.0"
"T05CA57C5","027","978-032-17657-2-3","2025-05-31","2025-06-07","-","BORROWED","0.0"
"T8B564B43","027","978-602-73156-1-0","2025-05-31","2025-06-20","2025-06-01","RETURNED","0.0"
"T3D00AA53","027","978-602-73156-1-0","2025-05-31","2025-06-07","2025-06-01","RETURNED","0.0"
"T5DF92160","027","978-602-73156-1-0","2025-05-31","2025-06-07","-","BORROWED","0.0"
"T8C5F5014","027","978-602-73156-1-0","2025-05-31","2025-06-07","-","BORROWED","0.0"
"TB75CD4B4","009","978-013-23508-8-4","2025-06-02","2025-06-09","2025-06-02","RETURNED","0.0"
"T2CEE3194","009","978-032-17657-2-3","2025-06-02","2025-06-09","-","BORROWED","0.0"
"TFE6A9326","017","978-602-03-0358-4","2025-06-02","2025-06-09","-","BORROWED","0.0"
"TE2C5011B","017","978-979-91-0244-8","2025-06-02","2025-06-09","-","BORROWED","0.0"
"TDAD8AF71","017","978-602-73156-1-0","2025-06-02","2025-06-09","-","BORROWED","0.0"
"T66AC0B25","027","978-0-590-35340-3","2025-06-02","2025-06-09","-","BORROWED","0.0"
"TE4828116","027","978-0-544-00341-5","2025-06-02","2025-06-09","-","BORROWED","0.0"
"TD7CE9CB8","909","978-979-3062-79-3","2025-06-02","2025-06-03","2025-06-08","RETURNED","5000.0"
"T9D269B58","009","978-013-23508-8-4","2025-06-02","2025-06-03","2025-06-15","RETURNED","12000.0"
"T814ABF8B","009","978-602-73156-1-0","2025-06-02","2025-06-03","2025-06-02","RETURNED","0.0"
